Time,Coin,Direction,Confidence,Model,Harga,Entry,TP,TP%,SL,SL%,ATR,H4 High,H4 Low,LGBM_Dec,LGBM_Conf,LGBM_S%,LGBM_F%,LGBM_L%,LSTM_Dec,LSTM_Conf,LSTM_S%,LSTM_F%,LSTM_L%,Stage,H4,InRng,Dist8H,RSI_H4,RSIslp,AbsSw,VolR,FG
2026-06-03 12:05,TAOUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,229.7900,229.7900,,,,,4.1732,236.3900,221.2000,LONG,0.6494,29,6,65,FLAT,0.5311,21,53,26,dual_gate_blocked,DOWN,0.33,-1.58,42.7,-9.616,-0.00,0.178,11
2026-06-03 12:05,DOTUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,1.1140,1.1140,,,,,0.016128,1.1110,1.0630,FLAT,0.9963,0,100,0,FLAT,0.3688,32,37,31,dual_gate_blocked,UP,0.68,-1.12,55.4,-7.094,1.85,0.064,11
2026-06-03 12:05,1000SHIBUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,0.00531500,0.00531500,,,,,0.00005276,0.00532500,0.00515000,FLAT,0.9567,4,96,0,SHORT,0.3837,38,26,36,dual_gate_blocked,UP,0.61,-0.70,56.4,0.909,1.56,0.033,11
2026-06-03 12:05,ADAUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,0.216000,0.216000,,,,,0.00257578,0.218200,0.208500,FLAT,0.8183,16,82,2,SHORT,0.3682,37,36,28,dual_gate_blocked,DOWN,0.53,-0.89,51.4,-4.055,-0.00,0.084,11
2026-06-03 12:05,ONDOUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,0.413300,0.413300,,,,,0.012091,0.420500,0.378600,FLAT,0.743,24,74,2,FLAT,0.367,31,37,32,dual_gate_blocked,UP,0.79,-1.36,59.0,-10.463,-0.00,0.059,11
2026-06-03 12:05,HBARUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,0.087740,0.087740,,,,,0.00092881,0.089110,0.085390,LONG,0.668,25,8,67,FLAT,0.4237,27,42,31,dual_gate_blocked,DOWN,0.51,-1.48,51.7,0.852,-0.00,0.058,11
2026-06-03 12:05,SOLUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,75.1000,75.1000,,,,,0.824337,76.0300,72.6400,FLAT,0.6386,29,64,7,FLAT,0.4291,27,43,30,dual_gate_blocked,DOWN,0.41,-0.69,49.9,1.394,-0.00,0.044,11
2026-06-03 12:05,LINKUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,8.5280,8.5280,,,,,0.097746,8.5660,8.2200,FLAT,0.9565,4,96,0,FLAT,0.4031,31,40,29,dual_gate_blocked,DOWN,0.51,-0.90,53.2,-1.448,2.14,0.040,11
2026-06-03 12:05,DOGEUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,0.093980,0.093980,,,,,0.00092936,0.094500,0.091530,FLAT,0.7314,27,73,0,SHORT,0.4152,42,26,32,dual_gate_blocked,DOWN,0.39,-0.56,50.4,0.527,-0.00,0.038,11
2026-06-03 12:05,ARBUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,0.096100,0.096100,,,,,0.00170466,0.095400,0.089700,FLAT,0.9968,0,100,0,SHORT,0.3649,36,33,31,dual_gate_blocked,UP,0.71,-1.11,58.8,-1.221,2.16,0.120,11
2026-06-03 12:05,XRPUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,1.2361,1.2361,,,,,0.011963,1.2485,1.1969,FLAT,0.8201,17,82,1,FLAT,0.3542,32,35,33,dual_gate_blocked,UP,0.59,-1.04,53.2,-7.167,-0.00,0.035,11
2026-06-03 12:05,TRXUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,0.332100,0.332100,,,,,0.00138488,0.333930,0.328560,SHORT,0.3768,38,28,34,FLAT,0.6432,15,64,20,dual_gate_blocked,DOWN,0.27,-1.32,40.7,-5.218,-0.00,0.060,11
2026-06-03 12:05,TONUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,1.9973,1.9973,,,,,0.047294,2.0777,1.9558,LONG,0.6007,2,38,60,FLAT,0.8272,5,83,13,dual_gate_blocked,UP,0.53,-1.70,45.4,-17.748,-0.00,0.042,11
2026-06-03 12:05,ETHUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,1877.46,1877.46,,,,,17.4551,1918.00,1826.85,SHORT,0.5011,50,22,28,FLAT,0.4253,34,43,24,dual_gate_blocked,DOWN,0.37,-0.86,48.3,-1.448,-0.00,0.045,11
2026-06-03 12:05,BNBUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,637.3300,637.3300,,,,,6.7547,647.1500,633.2100,FLAT,0.7882,0,79,21,FLAT,0.7747,5,77,17,dual_gate_blocked,DOWN,0.13,-1.45,31.9,-10.389,-0.00,0.086,11
2026-06-03 12:05,1000PEPEUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,0.00321370,0.00321370,,,,,0.00004169,0.00319150,0.00306280,FLAT,0.997,0,100,0,LONG,0.3882,38,23,39,dual_gate_blocked,UP,0.57,-0.81,56.2,-3.752,-0.00,0.045,11
2026-06-03 12:05,POLUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,0.093120,0.093120,,,,,0.00086315,0.094080,0.089800,FLAT,0.7566,24,76,0,FLAT,0.3717,32,37,31,dual_gate_blocked,UP,0.82,-1.11,63.0,-7.498,-0.00,0.026,11
2026-06-03 12:05,NEARUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,2.9400,2.9400,,,,,0.099262,2.7750,2.6780,LONG,0.607,17,22,61,FLAT,0.3491,31,35,34,dual_gate_blocked,UP,0.93,-0.35,69.0,0.799,-0.00,0.145,11
2026-06-03 12:05,AVAXUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,8.2990,8.2990,,,,,0.094868,8.3870,8.0440,FLAT,0.6599,31,66,3,FLAT,0.5263,22,53,25,dual_gate_blocked,DOWN,0.43,-0.73,50.7,-1.944,-0.00,0.033,11
2026-06-03 12:05,SUIUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,0.829300,0.829300,,,,,0.011997,0.842300,0.795700,LONG,0.3979,38,22,40,FLAT,0.4074,30,41,29,dual_gate_blocked,UP,0.61,-1.08,51.5,-6.928,-0.00,0.060,11
2026-06-03 11:05,TAOUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,234.7500,234.7500,,,,,4.1140,236.3900,221.2000,FLAT,0.872,13,87,0,FLAT,0.3673,34,37,29,dual_gate_blocked,DOWN,0.49,-0.40,55.1,-1.561,0.96,0.201,11
2026-06-03 11:05,DOTUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,1.1270,1.1270,,,,,0.015973,1.1110,1.0630,FLAT,0.9991,0,100,0,FLAT,0.3494,33,35,32,dual_gate_blocked,UP,0.83,-0.19,67.3,5.971,-0.00,0.073,11
2026-06-03 11:05,1000SHIBUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,0.00533400,0.00533400,,,,,0.00005485,0.00532500,0.00515000,FLAT,0.9916,1,99,0,FLAT,0.36,33,36,31,dual_gate_blocked,UP,0.66,-0.24,61.1,5.838,1.53,0.035,11
2026-06-03 11:05,ADAUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,0.217700,0.217700,,,,,0.00255359,0.218200,0.208500,FLAT,0.9669,3,97,0,SHORT,0.372,37,33,30,dual_gate_blocked,DOWN,0.64,-0.23,60.9,2.598,2.22,0.042,11
2026-06-03 11:05,ONDOUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,0.423000,0.423000,,,,,0.011376,0.420500,0.378600,FLAT,0.9947,1,99,0,FLAT,0.35,32,35,33,dual_gate_blocked,UP,0.96,-0.26,69.9,4.337,2.07,0.136,11
2026-06-03 11:05,HBARUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,0.087690,0.087690,,,,,0.00094842,0.089110,0.085390,SHORT,0.6297,63,5,32,FLAT,0.4274,28,43,30,dual_gate_blocked,DOWN,0.49,-1.50,51.4,-7.657,-0.00,0.091,11
2026-06-03 11:05,SOLUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,75.4900,75.4900,,,,,0.851979,76.0300,72.6400,FLAT,0.6884,31,69,1,FLAT,0.3842,31,38,31,dual_gate_blocked,DOWN,0.47,-0.21,55.8,4.144,-0.00,0.069,11
2026-06-03 11:05,LINKUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,8.5990,8.5990,,,,,0.099697,8.5660,8.2200,FLAT,0.997,0,100,0,FLAT,0.3569,34,36,31,dual_gate_blocked,DOWN,0.61,-0.17,62.1,5.016,0.75,0.291,11
2026-06-03 11:05,DOGEUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,0.094310,0.094310,,,,,0.00095614,0.094500,0.091530,FLAT,0.8455,15,85,0,SHORT,0.4414,44,35,21,dual_gate_blocked,DOWN,0.43,-0.20,55.2,2.671,2.28,0.043,11
2026-06-03 11:05,ARBUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,0.097800,0.097800,,,,,0.00169922,0.095400,0.089700,FLAT,0.9988,0,100,0,SHORT,0.3664,37,33,30,dual_gate_blocked,UP,0.89,-0.12,71.4,7.360,-0.00,0.091,11
2026-06-03 11:05,XRPUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,1.2422,1.2422,,,,,0.012368,1.2485,1.1969,FLAT,0.73,27,73,0,LONG,0.3391,32,34,34,dual_gate_blocked,UP,0.67,-0.51,59.6,-1.244,-0.00,0.056,11
2026-06-03 11:05,TRXUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,0.332280,0.332280,,,,,0.00141701,0.333930,0.328560,FLAT,0.5985,38,60,3,FLAT,0.6098,18,61,21,dual_gate_blocked,DOWN,0.26,-1.16,41.6,-5.956,-0.00,0.036,11
2026-06-03 11:05,TONUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,2.0338,2.0338,,,,,0.048521,2.0777,1.9558,SHORT,0.5299,53,47,0,FLAT,0.7445,9,74,16,dual_gate_blocked,UP,0.74,-0.90,55.4,0.009,-0.00,0.109,11
2026-06-03 11:05,ETHUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,1883.97,1883.97,,,,,18.4086,1918.00,1826.85,SHORT,0.5381,54,19,27,FLAT,0.4179,38,42,21,dual_gate_blocked,DOWN,0.41,-0.46,53.3,4.796,-0.00,0.022,11
2026-06-03 11:05,BNBUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,642.3500,642.3500,,,,,6.6489,647.1500,633.2100,FLAT,0.6916,26,69,5,FLAT,0.5721,26,57,16,dual_gate_blocked,DOWN,0.23,-0.72,39.1,-2.024,-0.00,0.030,11
2026-06-03 11:05,1000PEPEUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,0.00323820,0.00323820,,,,,0.00004294,0.00319150,0.00306280,FLAT,0.9993,0,100,0,LONG,0.4199,40,18,42,dual_gate_blocked,UP,0.65,-0.18,65.3,4.835,-0.00,0.042,11
2026-06-03 11:05,POLUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,0.093230,0.093230,,,,,0.00093718,0.094080,0.089800,FLAT,0.778,22,78,0,FLAT,0.3803,33,38,29,dual_gate_blocked,UP,0.84,-0.91,65.2,-5.174,-0.00,0.059,11
2026-06-03 11:05,NEARUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,2.9540,2.9540,,,,,0.094912,2.7750,2.6780,LONG,0.5846,21,20,58,LONG,0.3505,31,34,35,dual_gate_blocked,UP,0.96,-0.22,71.9,4.833,-0.00,0.131,11
2026-06-03 11:05,AVAXUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,8.3440,8.3440,,,,,0.095607,8.3870,8.0440,FLAT,0.8777,12,88,0,FLAT,0.4302,29,43,28,dual_gate_blocked,DOWN,0.49,-0.25,56.5,2.825,0.25,0.260,11
2026-06-03 11:05,SUIUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,0.837900,0.837900,,,,,0.012041,0.842300,0.795700,LONG,0.4853,23,29,49,FLAT,0.3655,33,37,31,dual_gate_blocked,UP,0.75,-0.37,61.1,-0.245,2.16,0.067,11
2026-06-03 10:05,TAOUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,232.5200,232.5200,,,,,4.2942,236.3900,221.2000,SHORT,0.614,61,24,14,FLAT,0.4854,33,49,18,dual_gate_blocked,DOWN,0.41,-0.90,49.6,-3.769,-0.00,0.051,11
2026-06-03 10:05,DOTUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,1.1110,1.1110,,,,,0.015395,1.1170,1.0630,FLAT,0.9477,5,95,0,FLAT,0.388,31,39,31,dual_gate_blocked,UP,0.62,-0.39,58.1,0.819,2.14,0.040,11
2026-06-03 10:05,1000SHIBUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,0.00530300,0.00530300,,,,,0.00005573,0.00532500,0.00515000,FLAT,0.8627,14,86,0,LONG,0.3929,31,30,39,dual_gate_blocked,DOWN,0.58,-0.39,55.9,3.163,1.62,0.027,11
2026-06-03 10:05,ADAUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,0.216700,0.216700,,,,,0.00265414,0.218100,0.208500,FLAT,0.873,12,87,1,SHORT,0.3771,38,32,30,dual_gate_blocked,DOWN,0.56,-0.53,56.8,4.559,-0.00,0.060,11
2026-06-03 10:05,ONDOUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,0.417300,0.417300,,,,,0.011719,0.420500,0.378600,FLAT,0.9526,5,95,0,FLAT,0.3517,32,35,33,dual_gate_blocked,UP,0.95,-0.27,66.6,-7.475,2.60,0.039,11
2026-06-03 10:05,HBARUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,0.087300,0.087300,,,,,0.00098069,0.089110,0.085390,LONG,0.504,48,2,50,FLAT,0.5539,18,55,26,dual_gate_blocked,DOWN,0.42,-1.85,46.2,-13.250,-0.00,0.034,11
2026-06-03 10:05,SOLUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,75.0900,75.0900,,,,,0.886335,75.3900,72.6400,FLAT,0.798,20,80,0,FLAT,0.4555,26,46,29,dual_gate_blocked,DOWN,0.40,-0.34,50.6,3.489,2.47,0.026,11
2026-06-03 10:05,LINKUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,8.5130,8.5130,,,,,0.099640,8.5660,8.2200,FLAT,0.7595,23,76,1,FLAT,0.4532,27,45,27,dual_gate_blocked,DOWN,0.49,-0.53,53.3,-0.294,-0.00,0.030,11
2026-06-03 10:05,DOGEUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,0.093930,0.093930,,,,,0.00099370,0.094500,0.091530,FLAT,0.6126,38,61,1,LONG,0.354,35,30,35,dual_gate_blocked,DOWN,0.37,-0.57,50.3,0.386,-0.00,0.021,11
2026-06-03 10:05,ARBUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,0.096000,0.096000,,,,,0.00162423,0.096100,0.089700,FLAT,0.9789,2,98,0,SHORT,0.3592,36,33,31,dual_gate_blocked,UP,0.70,-0.06,63.1,3.717,2.19,0.084,11
2026-06-03 10:05,XRPUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,1.2402,1.2402,,,,,0.013345,1.2485,1.1969,FLAT,0.6994,30,70,0,FLAT,0.3568,31,36,33,dual_gate_blocked,UP,0.64,-0.62,58.1,-0.425,-0.00,0.037,11
2026-06-03 10:05,TRXUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,0.332340,0.332340,,,,,0.00147512,0.333930,0.328560,SHORT,0.5705,57,16,27,FLAT,0.6226,16,62,21,dual_gate_blocked,DOWN,0.26,-1.08,41.6,-8.679,-0.00,0.019,11
2026-06-03 10:05,TONUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,2.0108,2.0108,,,,,0.045497,2.0777,1.9632,FLAT,0.4943,6,49,45,FLAT,0.7949,5,79,15,dual_gate_blocked,UP,0.61,-1.47,49.4,-6.723,-0.00,0.051,11
2026-06-03 10:05,ETHUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,1877.25,1877.25,,,,,18.5590,1918.00,1826.85,SHORT,0.6033,60,11,29,FLAT,0.3942,34,39,27,dual_gate_blocked,DOWN,0.37,-0.49,48.5,4.017,-0.00,0.032,11
2026-06-03 10:05,BNBUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,643.6200,643.6200,,,,,7.0133,647.1500,633.2100,FLAT,0.7483,23,75,2,FLAT,0.6208,14,62,24,dual_gate_blocked,DOWN,0.25,-0.51,41.6,6.119,-0.00,0.031,11
2026-06-03 10:05,1000PEPEUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,0.00321860,0.00321860,,,,,0.00004446,0.00323400,0.00306280,FLAT,0.9463,5,95,0,LONG,0.429,39,18,43,dual_gate_blocked,DOWN,0.58,-0.35,61.0,2.852,2.22,0.036,11
2026-06-03 10:05,POLUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,0.092980,0.092980,,,,,0.00100669,0.094080,0.089800,FLAT,0.716,28,72,0,FLAT,0.3491,32,35,33,dual_gate_blocked,UP,0.80,-1.09,62.7,-6.867,-0.00,0.053,11
2026-06-03 10:05,NEARUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,2.8360,2.8360,,,,,0.087627,2.7750,2.6780,LONG,0.521,31,17,52,FLAT,0.4113,27,41,32,dual_gate_blocked,UP,0.83,-0.87,61.3,-1.398,-0.00,0.063,11
2026-06-03 10:05,AVAXUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,8.2890,8.2890,,,,,0.096787,8.3400,8.0440,FLAT,0.7512,24,75,1,FLAT,0.5729,19,57,24,dual_gate_blocked,DOWN,0.40,-0.53,50.6,1.847,-0.00,0.032,11
2026-06-03 10:05,SUIUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,0.831800,0.831800,,,,,0.012467,0.842300,0.795700,FLAT,0.8444,14,84,2,FLAT,0.3849,32,38,30,dual_gate_blocked,DOWN,0.65,-0.84,55.9,-1.770,-0.00,0.059,11
2026-06-03 09:05,TAOUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,233.0100,233.0100,,,,,4.4796,239.9200,219.8400,SHORT,0.5289,53,18,29,FLAT,0.4014,36,40,24,dual_gate_blocked,DOWN,0.43,-0.75,50.5,0.111,-0.00,0.062,11
2026-06-03 09:05,DOTUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,1.1100,1.1100,,,,,0.016348,1.1110,1.0550,FLAT,0.9846,1,98,0,FLAT,0.3692,32,37,31,dual_gate_blocked,DOWN,0.60,-0.43,57.5,2.521,1.96,0.079,11
2026-06-03 09:05,1000SHIBUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,0.00529200,0.00529200,,,,,0.00005817,0.00532500,0.00513200,FLAT,0.8257,17,83,1,LONG,0.4062,36,24,41,dual_gate_blocked,DOWN,0.55,-0.57,53.8,-4.929,-0.00,0.031,11
2026-06-03 09:05,ADAUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,0.216100,0.216100,,,,,0.00279683,0.218200,0.207200,FLAT,0.8178,17,82,1,SHORT,0.3878,39,33,28,dual_gate_blocked,DOWN,0.51,-0.72,53.9,3.138,-0.00,0.046,11
2026-06-03 09:05,ONDOUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,0.414800,0.414800,,,,,0.012148,0.420500,0.376600,FLAT,0.8544,14,85,0,FLAT,0.349,32,35,33,dual_gate_blocked,UP,0.92,-0.47,65.8,-4.692,2.70,0.037,11
2026-06-03 09:05,HBARUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,0.087630,0.087630,,,,,0.00103105,0.089110,0.085060,LONG,0.534,40,7,53,FLAT,0.397,29,40,31,dual_gate_blocked,DOWN,0.46,-1.44,49.5,-8.336,-0.00,0.121,11
2026-06-03 09:05,SOLUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,74.9200,74.9200,,,,,0.917668,76.0300,72.2100,FLAT,0.5582,36,56,8,FLAT,0.4706,24,47,29,dual_gate_blocked,DOWN,0.37,-0.51,48.2,2.410,-0.00,0.023,11
2026-06-03 09:05,LINKUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,8.5120,8.5120,,,,,0.101636,8.5660,8.1650,FLAT,0.8169,18,82,0,FLAT,0.3923,31,39,30,dual_gate_blocked,DOWN,0.49,-0.53,53.1,0.351,-0.00,0.049,11
2026-06-03 09:05,DOGEUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,0.093820,0.093820,,,,,0.00102606,0.094500,0.090780,FLAT,0.6591,33,66,1,LONG,0.4122,35,24,41,dual_gate_blocked,DOWN,0.35,-0.66,48.6,-2.105,-0.00,0.027,11
2026-06-03 09:05,ARBUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,0.095300,0.095300,,,,,0.00166385,0.095400,0.089200,FLAT,0.9757,2,98,0,SHORT,0.3681,37,32,31,dual_gate_blocked,DOWN,0.63,-0.48,58.3,4.852,2.12,0.094,11
2026-06-03 09:05,XRPUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,1.2410,1.2410,,,,,0.013985,1.2315,1.1886,FLAT,0.9974,0,100,0,FLAT,0.3392,32,34,34,dual_gate_blocked,DOWN,0.66,-0.54,59.3,4.493,-0.00,0.029,11
2026-06-03 09:05,TRXUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,0.332950,0.332950,,,,,0.00150985,0.333930,0.328560,FLAT,0.4716,36,47,17,FLAT,0.4696,25,47,28,dual_gate_blocked,DOWN,0.30,-0.65,44.8,-0.656,-0.00,0.090,11
2026-06-03 09:05,TONUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,2.0517,2.0517,,,,,0.044468,2.0777,1.9558,FLAT,0.707,29,71,0,FLAT,0.6303,14,63,23,dual_gate_blocked,UP,0.85,-0.58,62.0,-0.616,-0.00,0.042,11
2026-06-03 09:05,ETHUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,1879.22,1879.22,,,,,18.9681,1883.64,1816.00,FLAT,0.8803,12,88,0,SHORT,0.5191,52,30,18,dual_gate_blocked,DOWN,0.38,-0.23,49.6,4.353,1.86,0.041,11
2026-06-03 09:05,BNBUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,645.1600,645.1600,,,,,7.0572,657.9000,631.0100,LONG,0.6452,28,8,65,FLAT,0.5366,16,54,30,dual_gate_blocked,DOWN,0.28,-0.82,42.6,1.627,-0.00,0.038,11
2026-06-03 09:05,1000PEPEUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,0.00321310,0.00321310,,,,,0.00004690,0.00319150,0.00304370,FLAT,0.9968,0,100,0,LONG,0.4071,40,19,41,dual_gate_blocked,DOWN,0.56,-0.45,59.7,4.988,2.21,0.033,11
2026-06-03 09:05,POLUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,0.093640,0.093640,,,,,0.00103972,0.094080,0.089310,FLAT,0.9737,3,97,0,LONG,0.3419,32,34,34,dual_gate_blocked,UP,0.92,-0.42,71.9,4.133,1.35,0.064,11
2026-06-03 09:05,NEARUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,2.8640,2.8640,,,,,0.091354,2.7750,2.6260,LONG,0.5135,26,23,51,FLAT,0.3623,31,36,33,dual_gate_blocked,UP,0.90,-0.53,67.2,-5.039,-0.00,0.035,11
2026-06-03 09:05,AVAXUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,8.3000,8.3000,,,,,0.100662,8.3870,7.9880,FLAT,0.648,34,65,2,FLAT,0.4819,25,48,27,dual_gate_blocked,DOWN,0.41,-0.40,51.8,1.447,-0.00,0.038,11
2026-06-03 09:05,SUIUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,0.833600,0.833600,,,,,0.013151,0.835800,0.790700,LONG,0.5148,11,37,51,FLAT,0.3579,33,36,31,dual_gate_blocked,DOWN,0.68,-0.66,58.0,-0.046,2.05,0.038,11
2026-06-03 08:05,TAOUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,234.7800,234.7800,,,,,4.7243,239.9200,219.8400,SHORT,0.4363,44,32,24,SHORT,0.3988,40,38,22,dual_gate_blocked,DOWN,0.49,-0.34,55.1,17.288,-0.00,0.059,11
2026-06-03 08:05,DOTUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,1.1110,1.1110,,,,,0.017560,1.1110,1.0550,FLAT,0.984,2,98,0,FLAT,0.3871,30,39,31,dual_gate_blocked,DOWN,0.62,-0.34,59.4,12.636,1.91,0.071,11
2026-06-03 08:05,1000SHIBUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,0.00529200,0.00529200,,,,,0.00006334,0.00532500,0.00513200,FLAT,0.8237,17,82,1,LONG,0.3891,34,28,39,dual_gate_blocked,DOWN,0.55,-0.52,54.0,5.278,-0.00,0.074,11
2026-06-03 08:05,ADAUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,0.216800,0.216800,,,,,0.00297275,0.218200,0.207200,FLAT,0.9357,6,94,0,SHORT,0.4089,41,33,26,dual_gate_blocked,DOWN,0.55,-0.44,57.3,18.818,1.97,0.048,11
2026-06-03 08:05,ONDOUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,0.411700,0.411700,,,,,0.012536,0.403000,0.376600,FLAT,0.9965,0,100,0,FLAT,0.3417,32,34,34,dual_gate_blocked,UP,0.87,-0.70,66.1,5.370,-0.00,0.080,11
2026-06-03 08:05,HBARUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,0.088360,0.088360,,,,,0.00107614,0.088210,0.085060,FLAT,0.6478,16,65,19,SHORT,0.3562,36,31,33,dual_gate_blocked,DOWN,0.57,-0.70,59.1,20.487,1.18,0.085,11
2026-06-03 08:05,SOLUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,75.2900,75.2900,,,,,0.990643,76.0300,72.2100,FLAT,0.7154,27,72,2,FLAT,0.4291,28,43,30,dual_gate_blocked,DOWN,0.42,-0.10,52.5,13.855,-0.00,0.032,11
2026-06-03 08:05,LINKUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,8.5460,8.5460,,,,,0.109569,8.5850,8.1650,FLAT,0.9227,8,92,0,FLAT,0.3834,31,38,31,dual_gate_blocked,DOWN,0.54,-0.18,57.5,17.985,1.95,0.036,11
2026-06-03 08:05,DOGEUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,0.094120,0.094120,,,,,0.00111489,0.094900,0.090780,FLAT,0.7057,28,71,1,LONG,0.3873,36,25,39,dual_gate_blocked,DOWN,0.39,-0.34,52.3,13.426,-0.00,0.027,11
2026-06-03 08:05,ARBUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,0.095700,0.095700,,,,,0.00178957,0.095400,0.089200,FLAT,0.9955,0,100,0,SHORT,0.3811,38,31,31,dual_gate_blocked,DOWN,0.67,-0.22,61.6,21.718,2.29,0.043,11
2026-06-03 08:05,XRPUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,1.2410,1.2410,,,,,0.015220,1.2315,1.1886,FLAT,0.9976,0,100,0,FLAT,0.3759,31,38,31,dual_gate_blocked,DOWN,0.66,-0.49,59.4,13.224,-0.00,0.060,11
2026-06-03 08:05,TRXUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,0.333400,0.333400,,,,,0.00165670,0.335650,0.328560,SHORT,0.4614,46,26,28,FLAT,0.5302,23,53,24,dual_gate_blocked,DOWN,0.33,-0.32,47.7,12.185,-0.00,0.058,11
2026-06-03 08:05,TONUSDT,FLAT,1.0000,cascade_v2.5_dual_gate,2.0220,2.0220,,,,,0.043361,2.0306,1.9558,FLAT,0.8799,11,88,1,FLAT,0.6908,10,69,21,dual_gate_blocked,UP,0.68,-1.28,54.8,-2.739,1.91,0.050,11
